Dataset,Display Dataset,Model,Seeds,Count,recall@10 mean,recall@10 std,recall@10,ndcg@10 mean,ndcg@10 std,ndcg@10,recall@50 mean,recall@50 std,recall@50,ndcg@50 mean,ndcg@50 std,ndcg@50
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),MostPopIndependent,42/43/44/45/46/47,6,0.02822084870235599,0.003689085569720833,0.0282 +/- 0.0037,0.013302506196904469,0.0020198126808070515,0.0133 +/- 0.0020,0.08511744903929129,0.0066334641854188265,0.0851 +/- 0.0066,0.02559302863270428,0.0023511924784593657,0.0256 +/- 0.0024
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),Semantic-only,42/43/44/45/46/47,6,0.044060634256028484,0.006191776223585388,0.0441 +/- 0.0062,0.028735318143226666,0.0052983591098138515,0.0287 +/- 0.0053,0.08542482949321745,0.005841341108443555,0.0854 +/- 0.0058,0.0377690594811092,0.005057024005465576,0.0378 +/- 0.0051
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),BPR,42/43/44/45/46/47,6,0.018116666666666666,0.0042499019596535,0.0181 +/- 0.0042,0.00975,0.0023594490882407272,0.0097 +/- 0.0024,0.04146666666666666,0.006384564720219123,0.0415 +/- 0.0064,0.014883333333333333,0.0027051186049167355,0.0149 +/- 0.0027
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),LightGCN,42/43/44/45/46/47,6,0.03113333333333333,0.0035909144610623447,0.0311 +/- 0.0036,0.017516666666666666,0.0024911175537631037,0.0175 +/- 0.0025,0.08778333333333332,0.002639254945371262,0.0878 +/- 0.0026,0.030033333333333332,0.0019242314483103812,0.0300 +/- 0.0019
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),NCL,42/43/44/45/46/47,6,0.03255,0.005162848051221341,0.0326 +/- 0.0052,0.017699999999999997,0.0028425340807103796,0.0177 +/- 0.0028,0.0906,0.004074800608618782,0.0906 +/- 0.0041,0.030399999999999996,0.002159629597870894,0.0304 +/- 0.0022
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN,42/43/44/45/46/47,6,0.04649999999999999,0.005923512471498647,0.0465 +/- 0.0059,0.02323333333333333,0.003497237004646192,0.0232 +/- 0.0035,0.12973333333333334,0.006997046996173932,0.1297 +/- 0.0070,0.04126666666666667,0.003814009264103414,0.0413 +/- 0.0038
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN (Gamma=0 eval-only),42/43/44/45/46/47,6,0.04596666666666666,0.005116900103252621,0.0460 +/- 0.0051,0.023200000000000002,0.003581619745310772,0.0232 +/- 0.0036,0.12845,0.0077244417274001135,0.1285 +/- 0.0077,0.0411,0.0041323117016991845,0.0411 +/- 0.0041
